filename,V,No,Some,Many,Few,Alternate
bht.txt,5757,6,?,-1,0,False
common-1-100.txt,100,-1,False,-2,-1,False
common-1-1000.txt,1000,-1,False,-2,-1,False
common-1-1500.txt,1500,-1,False,-2,-1,False
common-1-20.txt,20,-1,False,-2,-1,False
common-1-2000.txt,2000,-1,False,-2,-1,False
common-1-250.txt,250,-1,False,-2,-1,False
common-1-2500.txt,2500,6,?,-1,1,False
common-1-3000.txt,3000,6,?,-1,1,False
common-1-3500.txt,3500,6,?,-1,1,False
common-1-4000.txt,4000,6,?,-1,1,False
common-1-4500.txt,4500,6,?,-1,1,True
common-1-50.txt,50,-1,False,-2,-1,False
common-1-500.txt,500,-1,False,-2,-1,False
common-1-5000.txt,5000,6,?,-1,1,True
common-1-5757.txt,5757,6,?,-1,1,True
common-2-100.txt,100,-1,False,-2,-1,False
common-2-1000.txt,1000,4,?,-1,1,True
common-2-1500.txt,1500,4,?,-1,1,True
common-2-20.txt,20,-1,False,-2,-1,False
common-2-2000.txt,2000,4,?,-1,1,True
common-2-250.txt,250,-1,?,-1,-1,False
common-2-2500.txt,2500,4,?,-1,1,True
common-2-3000.txt,3000,4,?,-1,1,True
common-2-3500.txt,3500,4,?,-1,1,True
common-2-4000.txt,4000,4,?,-1,1,True
common-2-4500.txt,4500,4,?,-1,1,True
common-2-50.txt,50,-1,False,-2,-1,False
common-2-500.txt,500,4,?,-1,1,True
common-2-5000.txt,5000,4,?,-1,1,True
common-2-5757.txt,5757,4,?,-1,1,True
dodecahedron.txt,20,1,?,-1,1,False
G-ex.txt,8,3,?,-1,0,True
gnm-10-15-0.txt,10,1,?,-1,0,False
gnm-10-15-1.txt,10,1,?,-1,0,True
gnm-10-20-0.txt,10,3,?,-1,0,False
gnm-10-20-1.txt,10,3,?,-1,1,True
gnm-1000-1500-0.txt,1000,-1,?,-1,1,False
gnm-1000-1500-1.txt,1000,-1,?,-1,2,False
gnm-1000-2000-0.txt,1000,7,?,-1,0,False
gnm-1000-2000-1.txt,1000,-1,?,-1,1,False
gnm-2000-3000-0.txt,2000,8,?,-1,0,False
gnm-2000-3000-1.txt,2000,-1,?,-1,2,True
gnm-2000-4000-0.txt,2000,6,?,-1,0,False
gnm-2000-4000-1.txt,2000,5,?,-1,0,False
gnm-3000-4500-0.txt,3000,10,?,-1,0,False
gnm-3000-4500-1.txt,3000,-1,?,-1,2,False
gnm-3000-6000-0.txt,3000,6,?,-1,0,False
gnm-3000-6000-1.txt,3000,6,?,-1,1,False
gnm-4000-6000-0.txt,4000,7,?,-1,0,False
gnm-4000-6000-1.txt,4000,15,?,-1,0,False
gnm-4000-8000-0.txt,4000,5,?,-1,0,False
gnm-4000-8000-1.txt,4000,6,?,-1,1,True
gnm-5000-10000-0.txt,5000,5,?,-1,1,False
gnm-5000-10000-1.txt,5000,5,?,-1,0,True
gnm-5000-7500-0.txt,5000,-1,False,-2,-1,False
gnm-5000-7500-1.txt,5000,-1,False,-2,-1,False
grid-10-0.txt,100,49,?,-1,0,False
grid-10-1.txt,100,29,?,-1,0,False
grid-10-2.txt,100,-1,?,-1,2,True
grid-25-0.txt,625,324,?,-1,0,True
grid-25-1.txt,625,123,?,-1,0,True
grid-25-2.txt,625,-1,?,-1,5,True
grid-5-0.txt,25,14,?,-1,0,True
grid-5-1.txt,25,8,?,-1,0,True
grid-5-2.txt,25,-1,?,-1,1,True
grid-50-0.txt,2500,1249,?,-1,0,False
grid-50-1.txt,2500,521,?,-1,0,False
grid-50-2.txt,2500,-1,?,-1,10,False
increase-n10-1.txt,10,1,True,1,1,True
increase-n10-2.txt,10,1,True,1,1,True
increase-n10-3.txt,10,-1,False,-2,-1,False
increase-n100-1.txt,100,-1,False,-2,-1,False
increase-n100-2.txt,100,1,True,1,1,True
increase-n100-3.txt,100,-1,False,-2,-1,False
increase-n20-1.txt,20,-1,False,-2,-1,False
increase-n20-2.txt,20,1,True,0,0,True
increase-n20-3.txt,20,-1,False,-2,-1,False
increase-n50-1.txt,50,-1,False,-2,-1,False
increase-n50-2.txt,50,1,True,1,1,True
increase-n50-3.txt,50,1,True,1,1,True
increase-n500-1.txt,500,1,True,1,1,True
increase-n500-2.txt,500,1,True,1,1,True
increase-n500-3.txt,500,1,True,1,1,True
increase-n8-1.txt,8,1,True,1,1,True
increase-n8-2.txt,8,1,True,0,0,True
increase-n8-3.txt,8,1,True,0,0,True
P3.txt,3,-1,True,1,1,True
rusty-1-17.txt,17,10,?,-1,0,False
rusty-1-2000.txt,2000,-1,False,-2,-1,False
rusty-1-2500.txt,2500,-1,False,-2,-1,False
rusty-1-3000.txt,3000,14,?,-1,0,False
rusty-1-3500.txt,3500,14,?,-1,0,False
rusty-1-4000.txt,4000,13,?,-1,0,False
rusty-1-4500.txt,4500,7,?,-1,0,False
rusty-1-5000.txt,5000,7,?,-1,0,False
rusty-1-5757.txt,5757,7,?,-1,0,False
rusty-2-2000.txt,2000,5,?,-1,0,False
rusty-2-2500.txt,2500,4,?,-1,0,False
rusty-2-3000.txt,3000,4,?,-1,0,False
rusty-2-3500.txt,3500,4,?,-1,0,False
rusty-2-4000.txt,4000,4,?,-1,0,False
rusty-2-4500.txt,4500,4,?,-1,0,False
rusty-2-5000.txt,5000,4,?,-1,0,False
rusty-2-5757.txt,5757,4,?,-1,0,False
ski-illustration.txt,36,8,True,0,0,False
